Year,Citations Per Year,APT,Rank,ga_gender
2020,9.5,0.75,265,female
2020,6.5,0.75,788,male
2020,2,0.05,3128,male
2020,1,0.05,1003,unknown
2020,4.5,0.75,782,female
2020,1,0.5,2539,female
2020,5,0.5,2497,male
2020,1.5,0.05,287,male
2020,5,0.5,3130,male
2020,2.5,0.05,577,male
2020,10,0.75,0,male
2020,0.5,0.05,1771,male
2020,14,0.75,855,female
2020,12,0.75,650,
2020,5.5,0.5,0,male
2020,0.5,0.05,1778,female
2020,0,0.05,1677,male
2020,6,0.5,3130,male
2020,0,0.05,11081,male
2020,2.5,0.75,916,female
2020,5,0.05,1385,female
2020,1,0.5,3188,female
2020,2.5,0.75,3072,female
2020,0.5,0.25,788,male
2020,17.5,0.75,109,male
2020,10.5,0.25,173,female
2020,13,0.75,73,male
2020,1,0.25,181,unknown
2020,1.5,0.5,0,male
2020,2.5,0.05,0,male
2020,2,0.05,4108,male
2020,2.5,0.05,4748,female
2020,3.5,0.75,7023,male
2020,4,0.75,650,female
2020,1,0.25,3169,female
2020,2.5,0.75,738,male
2020,14.5,0.75,0,male
2020,19,0.95,846,male
2020,2.5,0.05,299,male
2020,2,0.75,9246,male
2020,6,0.5,3078,male
2020,1.5,0.05,1776,male
2020,1.5,0.05,219,male
2020,5.5,0.75,562,male
2020,5.5,0.75,545,male
2020,7,0.25,4108,female
2020,5.5,0.75,720,male
2020,1,0.05,4087,female
2020,1.5,0.05,2216,female
2020,9,0.95,204,male
2020,1,0.05,2384,male
2020,3,0.25,2744,female
2020,0.5,0.05,0,male
2020,52.5,0.95,313,male
2020,4.5,0.75,562,male
2020,0.5,0.5,305,male
2020,4,0.05,4931,female
2020,1,0.05,5314,male
2020,1.5,0.5,204,male
2020,5,0.05,642,male
2020,5.5,0.75,1625,male
2020,0.5,0.25,0,female
2020,9,0.75,277,female
2020,7.5,0.95,277,female
2020,0.5,0.25,846,male
2020,2,0.5,673,female
2020,1,0.5,660,female
2020,3.5,0.75,0,male
2020,7,0.05,916,female
2020,1.5,0.5,916,female
2020,1,0.05,6112,male
2020,1.5,0.05,4290,female
2020,2,0.75,3022,female
2020,1,0.5,0,male
2020,1.5,0.05,2216,male
2020,0.5,0.05,1003,female
2020,2,0.05,4393,male
2020,4,0.25,571,female
2020,1,0.05,840,female
2020,3,0.75,916,male
2020,1.5,0.25,0,male
2020,0,0.05,4602,male
2020,1,0.5,916,female
2020,0.5,0.25,6353,female
2020,2,0.05,545,male
2020,0,0.05,1955,male
2020,1.5,0.5,545,male
2020,4.5,0.05,3169,male
2020,0.5,0.05,2671,female
2020,6,0.95,134,female
2020,0,0.05,531,female
2020,0.5,0.05,1003,female
2020,0,0.05,299,male
2020,2,0.75,6380,male
2020,0.5,0.05,2384,male
2020,6,0.75,0,male
2020,2.5,0.75,134,male
2020,2,0.25,1298,male
2020,10,0.75,779,female
2020,1.5,0.5,2534,male
2020,4.5,0.25,1245,male
2020,1,0.5,11081,male
2020,2,0.25,1441,male
2020,12.5,0.5,198,male
2020,6.5,0.25,4476,male
2020,2,0.25,2589,male
2020,1,0.5,4997,female
2020,2.5,0.25,3130,female
2020,5,0.05,811,male
2020,2,0.05,3722,
2020,1,0.05,0,female
2020,4.5,0.25,715,male
2020,0,0.05,0,male
2020,3.5,0.75,0,unknown
2020,2.5,0.25,479,male
2020,0,0.05,715,male
2020,4.5,0.05,3130,female
2020,2.5,0.05,4434,male
2020,0.5,0.05,2787,male
2020,0.5,0.05,2918,female
2020,1,0.05,881,male
2020,2,0.75,916,female
2020,0.5,0.05,788,female
2020,1,0.25,1089,female
2020,0.5,0.25,13243,female
2020,0.5,0.25,6114,male
2020,1.5,0.5,4434,female
2020,2.5,0.05,2384,male
2020,0.5,0.05,198,male
2020,1,0.25,0,male
2020,2.5,0.05,3886,male
2020,2,0.5,466,male
2020,0,0.05,16380,male
2020,0,0.05,16380,male
2020,0,0.05,19696,female
2020,1.5,0.05,4956,male
2020,0,0.05,0,female
2020,0.5,0.25,4631,female
2020,12,0.05,348,male
2020,13,0.25,730,male
2020,1,0.5,13388,female
2020,4,0.25,1256,male
2020,5,0.75,0,female
2020,19,0.5,549,male
2020,4.5,0.75,3397,female
2020,4,0.75,2623,male
2020,15.5,0.95,861,female
2020,10.5,0.95,227,male
2020,3.5,0.75,861,male
2020,3.5,0.75,5020,male
2020,3.5,0.75,7030,male
2020,3.5,0.5,3642,male
2020,6,0.75,1136,male
2020,9,0.75,3642,female
2020,25.5,0.95,351,male
2020,2.5,0.5,2377,male
2020,5,0.75,1866,unknown
2020,8,0.5,934,male
2020,3.5,0.05,642,
2020,1.5,0.05,1761,unknown
2020,2,0.25,6227,male
2020,8,0.75,1478,male
2020,5,0.05,0,female
2020,2.5,0.05,960,female
2020,3,0.5,669,male
2020,2,0.75,3096,female
2020,3.5,0.95,1718,female
2020,3.5,0.5,2377,male
2020,2,0.75,3188,female
2020,1,0.05,2448,male
2020,1,0.25,484,male
2020,4.5,0.75,385,male
2020,103,0.75,27,male
2020,0.5,0.05,1370,female
2020,3.5,0.75,177,male
2020,2.5,0.75,650,male
2020,10.5,0.95,277,female
2020,4,0.5,209,female
2020,3,0.75,1839,female
2020,3,0.75,203,male
2020,12.5,0.95,203,male
2020,2.5,0.75,1977,male
2020,0.5,0.25,6113,male
2020,4.5,0.5,642,male
2020,2.5,0.05,916,male
2020,0.5,0.05,2448,unknown
2020,4.5,0.75,2886,male
2020,3.5,0.05,916,male
2020,1.5,0.25,916,female
2020,23,0.95,275,female
2020,2.5,0.5,562,female
2020,2,0.05,1778,unknown
2020,12.5,0.5,1778,male
2020,1.5,0.25,779,female
2020,5.5,0.75,73,male
2020,1.5,0.05,49,male
2020,1.5,0.5,2588,male
2020,8.5,0.75,956,female
2020,2,0.25,2377,male
2020,10.5,0.95,390,male
2020,3.5,0.75,1320,male
2020,7,0.75,287,male
2020,8.5,0.75,241,female
2020,10,0.25,219,male
2020,3,0.25,2072,female
2020,5,0.5,484,male
2020,0,0.05,0,female
2020,5,0.75,810,unknown
2020,1.5,0.05,2216,male
2020,2.5,0.05,3218,unknown
2020,0,0.05,385,female
2020,4.5,0.95,0,male
2020,0.5,0.05,0,female
2020,6,0.25,287,female
2020,8,0.05,219,female
2020,32.5,0.95,14,male
2020,0.5,0.05,3093,female
2020,2.5,0.05,5267,female
2020,3.5,0.5,2216,male
2020,10.5,0.25,2029,female
2020,6.5,0.25,715,female
2020,2,0.75,3642,male
2020,4,0.95,1413,male
2020,1.5,0.25,3022,male
2020,4,0.25,161,male
2020,24,0.5,267,female
2020,1.5,0.05,582,male
2020,5.5,0.95,779,male
2020,10,0.75,738,male
2020,0.5,0.05,738,unknown
2020,3.5,0.75,788,male
2020,3.5,0.95,531,female
2020,27,0.95,73,male
2020,0,0.05,2873,female
2020,7.5,0.95,916,female
2020,2,0.05,3022,female
2020,2.5,0.75,779,female
2020,4.5,0.95,3868,female
2020,3,0.75,1413,female
2020,1,0.5,0,female
2020,6,0.05,827,female
2020,21,0.95,0,male
2020,2.5,0.25,1778,male
2020,4.5,0.25,2216,female
2020,2,0.75,2528,male
2020,12,0.5,299,female
2020,16,0.95,650,female
2020,1.5,0.25,8478,
2020,1.5,0.05,3130,male
2020,0.5,0.05,4080,female
2020,0.5,0.25,6806,female
2020,4,0.25,0,male
2020,5.5,0.75,855,male
2020,5.5,0.25,219,male
2020,0,0.05,2057,unknown
2020,1,0.25,3768,male
2020,0,0.05,3631,female
2020,11,0.75,1247,female
2020,3.5,0.5,204,male
2020,13.5,0.75,5474,male
2020,3.5,0.25,5786,male
2020,4,0.5,219,female
2020,2.5,0.05,1920,male
2020,4,0.05,881,male
2020,72,0.95,518,male
2020,20.5,0.95,204,female
2020,3.5,0.05,3130,female
2020,1.5,0.05,2354,female
2020,154.5,0.95,134,male
2020,2.5,0.75,1198,male
2020,20,0.75,49,male
2020,2.5,0.05,1141,male
2020,5,0.25,246,female
2020,5.5,0.05,4748,unknown
2020,5,0.95,562,male
2020,1.5,0.5,628,female
2020,4.5,0.95,545,male
2020,1.5,0.75,916,male
2020,5,0.95,145,male
2020,3.5,0.75,1450,female
2020,0.5,0.25,1478,male
2020,2.5,0.75,2528,female
2020,25.5,0.5,299,female
2020,0.5,0.05,5706,male
2020,1,0.5,7940,male
2020,1.5,0.5,720,female
2020,5,0.75,916,unknown
2020,1,0.25,3655,male
2020,0,0.05,3868,female
2020,7.5,0.05,1247,male
2020,1,0.25,0,male
2020,0.5,0.05,1814,male
2020,1,0.05,3130,
2020,0.5,0.05,2506,male
2020,8,0.95,916,male
2020,5.5,0.75,562,male
2020,10,0.75,916,female
2020,1.5,0.5,5854,female
2020,16.5,0.95,720,male
2020,5.5,0.95,204,female
2020,54,0.95,204,female
2020,4,0.05,988,female
2020,1.5,0.25,3623,male
2020,2.5,0.25,1922,male
2020,1,0.5,1797,male
2020,1,0.05,4393,female
2020,2,0.05,1920,female
2020,3,0.5,2894,female
2020,6,0.95,203,male
2020,3,0.75,1849,male
2020,2.5,0.25,4644,male
2020,0.5,0.25,0,male
2020,0.5,0.25,2643,female
2020,6.5,0.05,287,female
2020,1.5,0.25,11474,female
2020,1,0.05,1441,male
2020,3.5,0.05,198,male
2020,2.5,0.5,1642,female
2020,1,0.25,4914,female
2020,15.5,0.95,609,male
